id_resacc;id_organisation  ;id_projet;id_ben;id_owner;date_creation;id_modifier ;date_last_modified;nom_commercial  ;activite_principale;raison_sociale;type_adresse  ;adresse_ligne_1;adresse_ligne_2;adresse_ligne_3;cp_resacc;ville_resacc;region_resacc;pays_resacc;date_immat;date_debut_activite;forme_juridique;siret;code_naf;secteur_activite;dirigeant ;implantation;regime_imposition;regime_tva;regime_fiscal;regime_social_dirigeant;statut_resacc
1;0;1;9409;12;1236384000;12;1236384000;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
2;0;2;9408;1003;1236384000;1003;1236384000;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
3;0;3;9410;1003;1236384000;1003;1236384000;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
4;0;4;9419;1003;1236556800;1003;1236556800;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
5;0;5;9418;1003;1236556800;1003;1236556800;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
6;0;6;9420;1003;1236556800;1003;1236556800;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
7;0;7;9417;10;1236556800;10;1236556800;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
8;0;8;9416;1021;1236556800;1021;1236556800;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
9;0;9;9415;1003;1236556800;1003;1236556800;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
10;0;10;9423;10;1236643200;10;1236643200;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
11;0;11;9425;1003;1236643200;1003;1294326526;S.G.M.;Travaux de menuiserie bois et pvc;SOCIETE GENERALE DE MENUISERIE;Siège;28 Rue de Chabrol;;;75010;PARIS 10EME ARRONDISSEMENT;IDF;FRANCE;1259794800;1259794800;SARL;51854231100015;43.32A;;Le beneficiaire;Domiciliation;Impôt sur les sociétés;;;;Cree
12;0;12;9427;1003;1236643200;1003;1236643200;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
13;0;13;9426;1003;1236643200;1003;1294326643;?;Maintenance chaudières murales et sol;;;;;;;;;;0;0;;;;;;;;;;;En cours
14;0;14;9424;1003;1236643200;1003;1236643200;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
15;0;15;9432;1003;1236729600;1003;1294326185;AZZIZI BOUCHRA;Commerce de détail de textiles, d'habillement et de chaussures;AZZIZI BOUCHRA;Siège;33 AV CESAR COLLAVERI;;;93190;LIVRY GARGAN;IDF;FRANCE;1235862000;1235862000;Entreprise individuelle;51217286700016;47.82Z;Commerce de détail, réparation;Le beneficiaire;Domicile du gérant;Impôt sur le Revenu;;;;Cree
16;0;16;9431;1003;1236729600;1003;1236729600;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
17;0;17;9433;12;1236729600;12;1236729600;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
18;0;18;9434;12;1236729600;12;1236729600;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
19;0;19;9440;1003;1236988800;1003;1236988800;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
20;0;20;9439;1003;1236988800;1003;1294325974;?;Achat et vente de riz parfumé thailandais avec livraison à domic;;;;;;;;;;0;0;;;;;;;;;;;En cours
21;0;23;9451;1003;1237161600;1003;1294325803;BIEN ETRE A LA MAISON;Autres services personnels n.c.a;BENEZRA Maurice;Siège;949 Avenue Francois Nardi;;;83000;TOULON;;FRANCE;1283464800;1283464800;Entreprise individuelle;52452080600018;96.09Z;;Le beneficiaire;Domicile du gérant;;;;;Cree
22;0;24;9457;1003;1237248000;1003;1237248000;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
23;0;25;9456;10;1237248000;10;1237248000;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
24;0;26;9455;1003;1237248000;1003;1294325537;?;Réparation et entretien des marchines et équipement de jardinnag;;;;;;;;;;0;0;;;;;;;;;;;En cours
25;0;27;9460;1003;1237334400;1001;1283353472;KPS+;Transports routiers de fret interurbains;KPS PLUS;Siège;5 Avenue Parmentier;;;93290;TREMBLAY EN FRANCE;IDF;France;1269813600;1269813600;SARL;52130641500014;;Transports et entreposage;Le beneficiaire;;;;;;Cree
26;0;28;9461;1003;1237334400;1003;1237334400;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
27;0;29;9459;1003;1237334400;1003;1294325431;?;services à la personne;;;;;;;;;;0;0;;;;;;;;;;;En cours
28;0;30;9465;10;1237593600;10;1237593600;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
29;0;31;9466;10;1237593600;10;1237593600;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
30;0;32;9464;10;1237593600;10;1237593600;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
31;0;33;9566;1003;1237593600;1003;1237593600;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
32;0;34;9477;1003;1237593600;1001;1283345624;TOUT PASSE;Transports routiers de fret de proximité;TOUT PASSE;Siège;3 Allee de la Deuxieme Division;;;93110;ROSNY SOUS BOIS;IDF;France;1258671600;1259622000;SARL;;;Transports et entreposage;Le beneficiaire;;;;;;Cree
33;0;35;9474;1003;1237593600;1003;1294325319;LA RONDE DES DAMES;Commerce de détail de textiles, d'habillement et de chaussures s;PEDIA Flore Simeonnie;Siège;11 Allee de la Rochefoucauld;;;93390;CLICHY SOUS BOIS;IDF;FRANCE;1239314400;1239314400;Entreprise individuelle;51174047400016;47.82Z;;Le beneficiaire;Domicile du gérant;;;;;Cree
34;0;36;9476;1003;1237593600;1003;1294323879;ENERGIE 6 THEMES;Travaux d'installation d'équipements thermiques et de climatisat;ENERGIE 6 THEMES;Siège;33 Avenue Georges Clemenceau;;;93420;VILLEPINTE;IDF;FRANCE;1263510000;1263510000;SARL;51937471400011;43.22B;;Le beneficiaire;Domicile du gérant;Impôt sur les sociétés;;;;Cree
35;0;37;9472;12;1237593600;12;1237593600;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
36;0;38;9473;12;1237593600;12;1237593600;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
37;0;39;9467;10;1237593600;1001;1283353262;DUNE IT 2;Conseil en systèmes et logiciels informatiques;DUNE IT 2;Siège;3 Avenue Paul Vaillant Couturier;;;93120;LA COURNEUVE;IDF;France;1271282400;1271282400;SARL;52171438600013;;Information et communication;Le beneficiaire;;;;;;Cree
38;0;40;9482;1003;1237766400;1003;1237766400;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
39;0;41;9483;1003;1237766400;1003;1237766400;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
40;0;42;9484;10;1237766400;10;1237766400;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
41;0;43;9494;1003;1237766400;1003;1294323638;CALAGAN MUSIC MALCOM & CO NEOGENE MUSIC;Arts du spectacle vivant;NEOGENE MUSIC CALAGAN EDITIONS;Siège;9 Rue Andre Messager;;;75008;PARIS 8EME ARRONDISSEMENT;IDF;FRANCE;1242770400;1242770400;SARL;45359306300028;90.01Z;Hébergement et restauration;Le beneficiaire;Local commercial;Impôt sur les sociétés;;;;Cree
42;0;44;9491;1021;1237766400;1001;1283412882;BAILLY David;Vente de linge de maison sur le marché;BAILLY David;;;;;;;;;0;0;Entreprise individuelle;;;;Le beneficiaire;;;;;;Cree
43;0;45;9492;1003;1237766400;1003;1237766400;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
44;0;46;9493;1021;1237766400;1021;1237766400;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
45;0;47;9486;10;1237766400;10;1237766400;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
46;0;48;9488;12;1237766400;1003;1294307175;?;Boutique de prêt-à-porter;;;;;;;;;;0;0;;;;;;;;;;;En cours
47;0;49;9489;12;1237766400;12;1237766400;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
48;0;50;9485;10;1237766400;10;1237766400;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
49;0;51;9896;10;1237766400;10;1237766400;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
50;0;52;9490;12;1237766400;12;1237766400;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
51;0;53;9497;10;1237852800;10;1237852800;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
52;0;54;9498;10;1237852800;1031;1285923731;;Activités spécialisées de design;NICOLAS;;163 avenue de Rosny;;;93130;Noisy le sec;IDF;;0;1280354400;Entreprise individuelle;52448191800018;;Information et communication;Le beneficiaire;Domicile du gérant;;;Franchise de base;;Cree
53;0;55;9506;1003;1237852800;1003;1294323276;?;Création ou reprise d'un restaurant;;;;;;;;;;0;0;;;;;;;;;;;En cours
54;0;56;9503;1003;1237852800;1003;1294323177;LABORIE LAURENCE;Activités spécialisées de design;LABORIE LAURENCE;Siège;130 rue du docteur Bauer;;;93400;ST OUEN;IDF;FRANCE;1257030000;1257030000;Entreprise individuelle;51795680100024;74.10Z;;Le beneficiaire;Domicile du gérant;Impôt sur le Revenu;;;;Cree
55;0;57;9504;1003;1237852800;1003;1237852800;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
56;0;58;9505;1003;1237852800;1003;1294323395;?;Reprise d'un bar/tabac;;;;;;;;;;0;0;;;;;;;;;;;En cours
57;0;59;9502;1003;1237852800;1003;1294322929;?;Petits travaux du bâtiment;;;;;;;;;;0;0;;;;;;;;;;;En cours
58;0;60;9501;12;1237852800;12;1237852800;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
59;0;61;9507;1003;1237852800;1003;1283249810;KAZANA;Boutique de bijoux fantaisies et accessoires;J. KESSEL;Siège;4 rue Yvonne le Tac;;;75018;PARIS 18E;IDF;France;1271887200;1271887200;SARL;477783419;;Commerce - réparation d'automobiles et de motocycles;Le beneficiaire;;;;;;Cree
60;0;63;9500;12;1237852800;1033;1289231103;?;;;;;;;;;;;0;0;;;62.01Z;;;;;;;;En cours
61;0;64;9499;12;1237852800;12;1237852800;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
62;0;67;9517;1021;1238371200;1021;1238371200;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
63;0;68;9518;10;1238371200;10;1238371200;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
64;0;69;9521;1021;1238371200;1021;1238371200;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
65;0;70;9523;10;1238371200;10;1238371200;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
66;0;71;9522;1021;1238371200;1021;1238371200;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
67;0;72;9520;1021;1238371200;1021;1238371200;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
68;0;73;8661;12;1238371200;12;1238371200;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
69;0;74;9519;12;1238371200;12;1238371200;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
70;0;75;9529;1021;1238457600;1021;1238457600;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
71;0;76;9530;1021;1238457600;1021;1238457600;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
72;0;77;9528;1021;1238457600;1021;1238457600;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
73;0;78;9533;1021;1238457600;1021;1238457600;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
74;0;79;9532;1021;1238457600;1021;1238457600;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
75;0;80;9540;12;1238457600;12;1238457600;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
76;0;81;9531;1021;1238457600;1021;1238457600;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
77;0;82;9537;12;1238457600;12;1238457600;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
78;0;83;9534;1021;1238457600;1021;1238457600;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
79;0;84;9536;12;1238457600;12;1238457600;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
80;0;85;9539;12;1238457600;12;1238457600;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
81;0;86;9538;12;1238457600;12;1238457600;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
82;0;87;9535;12;1238457600;12;1238457600;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
83;0;88;9548;10;1238803200;10;1238803200;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
84;0;89;9547;1003;1238803200;1003;1294322746;?;Esthéticienne à domicile;;;;;;;;;;0;0;;;;;;;;;;;En cours
85;0;90;9546;10;1238803200;10;1238803200;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
86;0;91;9545;1003;1238803200;1003;1238803200;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
87;0;92;9550;1003;1238803200;1001;1283431341;ROMERO Héléne;Coiffure à domicile;;;;;;;;;;0;0;Entreprise individuelle;;;;Le beneficiaire;;;;;;Cree
88;0;94;9554;1021;1238889600;1021;1238889600;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
89;0;95;9556;1021;1238889600;1021;1238889600;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
90;0;96;9557;1021;1238889600;1021;1238889600;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
91;0;97;10348;1021;1238889600;1021;1238889600;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
92;0;98;9555;1021;1238889600;1021;1238889600;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
93;0;99;9558;1021;1238889600;1021;1238889600;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
94;0;100;9564;1021;1238976000;1003;1294322417;H2T INGENIERIE;Ingénierie, études techniques;H2T INGENIERIE;Siège;25 Rue de Ponthieu;;;75008;PARIS 8EME ARRONDISSEMENT;IDF;FRANCE;1248300000;1248300000;SARL;51370210000019;71.12B;;Le beneficiaire;Domiciliation;Impôt sur les sociétés;;;;Cree
95;0;101;10127;1003;1238976000;1003;1238976000;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
96;0;102;9562;1021;1238976000;1021;1238976000;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
97;0;103;9561;1021;1238976000;1021;1238976000;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
98;0;104;9570;1021;1239062400;1021;1239062400;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
99;0;106;9571;1021;1239062400;1021;1239062400;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
100;0;107;9569;1021;1239062400;1021;1239062400;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
101;0;108;9575;1021;1239062400;1021;1239062400;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
102;0;109;9572;1021;1239062400;1021;1239062400;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
103;0;110;9574;1021;1239062400;1021;1239062400;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
104;0;111;9573;1021;1239062400;1021;1239062400;?;;;;;;;;;;;0;0;;;;;;;;;;;En cours
105;0;113;9576;1003;1239062400;1003;1294322001;?;entreprise de sécurité;;;;;;;;;;0;0;;;;;;;;;;;En cours
